Timestamp,Name,Registration Number,Gender,Batch,Area or Locality Near College,Type of Accommodation,Latitude (Accommodation),Longitude (Accommodation),Pincode,Commute Mode(s),How long is your commute,Do you usually travel alone or with others?,When Do You Leave for College?,When Do You Return Home?,Days of the Week You Commute,Have You Experienced Any Safety Incidents?,How many incidents have you experienced?,Where Did the Incident Happen?,Latitude (Incident),Longitude (Incident),Describe the incident,At which date the incident happen?,At what time the incident happen?,Was there any emergency support available?,Was the area had well lighting?,Were there any witnesses or bystanders present?,How Safe Do You Feel in Your Accommodation?,How Safe Do You Feel During Your Commute?,How likely are you to report an incident?,Do you feel informed about crime prevention strategies?,Do you know how to report safety concerns?,Confidence in staying safe,Has Incident,Encoded_Commute_Mode,Encoded_Accommodation,Leave_Hour,Leave_Day,Risk_Score
56:54.3,Urvi Jani,2024BTech741,Other,2025,Sehore,Rented Flat,0.2908463620927151,0.7920795458880718,466001,"['Personal Car', 'Monthly Cab']",30–45 mins,With friends,1:15 PM,11:35 AM,"['Tuesday', 'Wednesday', 'Thursday', 'Saturday', 'Friday', 'Monday']",No,0,,0.0,0.0,,,,Not Sure,Yes,Yes,1,3,2,Yes,No,2,1,76,2,,,1
16:10.6,Jalsa Prabhakar,2023BTech949,Male,2023,Kotri,Hostel,0.8532842885976919,0.522636322930282,462030,"['Walking', 'Personal Car']",15–30 mins,Alone,8:30 AM,7:30 PM,"['Wednesday', 'Tuesday', 'Friday', 'Thursday', 'Saturday']",Yes,3,"H.No. 10
Luthra Chowk, Anantapuram-065924",0.9846768891673103,0.9951047203698737,Fugit illo hic hic consequatur facilis similique eius.,14-01-2024,13:05:54,Yes,Yes,Yes,3,4,2,Yes,No,1,1,152,0,,,4
15:17.9,Ayushman Kara,2023BTech531,Male,2024,Bhopal,PG,0.19155279851343465,0.9234559572071532,466001,"['Personal Car', 'Scooty']",30–45 mins,Alone,2:50 PM,2:45 PM,"['Saturday', 'Tuesday', 'Friday', 'Thursday', 'Monday', 'Wednesday']",Yes,2,"68, Nagy Chowk, Srinagar-710124",0.9970897959550213,0.9967314307819365,Mollitia est quos consectetur veniam ut nihil in.,01-03-2024,06:39:34,Yes,Not Sure,Yes,4,4,4,No,Yes,5,1,83,1,,,3
26:19.4,Abeer Sharaf,2025BTech613,Male,2025,Bhopal,PG,0.588781116842334,0.8341114035985981,466001,"['Walking', 'College Bus']",45 mins–1 hour,Alone,4:25 PM,7:30 PM,"['Tuesday', 'Wednesday', 'Monday', 'Saturday']",Yes,2,"05/423
Zacharia Street, Silchar 984754",0.9950212264268384,0.9981741282076707,Quod sunt doloremque at.,31-07-2024,11:18:00,Not Sure,No,No,2,4,4,Yes,Yes,3,1,142,1,,,3
08:41.3,Chakradev Kumer,2020BTech163,Female,2025,Kotri,PG,0.9063190817928373,0.4928588209073155,462030,['Bike'],45 mins–1 hour,Alone,2:50 PM,10:00 AM,"['Friday', 'Tuesday', 'Thursday', 'Wednesday', 'Monday', 'Saturday']",No,0,,0.0,0.0,,,,Not Sure,Not Sure,Yes,4,4,1,Not Sure,No,5,1,24,1,,,1
14:22.7,Panini Iyengar,2020BTech162,Male,2025,Sehore,Hostel,0.3102853778874106,0.4006007706409491,462030,"['Private Bus', 'College Bus', 'Scooty']",30–45 mins,Alone,10:05 AM,5:55 PM,"['Tuesday', 'Friday', 'Thursday', 'Saturday', 'Wednesday']",No,0,,0.0,0.0,,,,Not Sure,No,No,4,3,5,Yes,No,2,1,95,0,,,1
34:40.1,Ekani Dani,2024BTech479,Female,2024,Bhopal,Hostel,0.17458470829461703,0.4612320215570378,466001,['Private Bus'],45 mins–1 hour,With friends,11:40 AM,2:45 PM,"['Wednesday', 'Monday', 'Thursday', 'Saturday', 'Friday']",Yes,1,"41/38, Lalla Ganj
Bihar Sharif 864252",0.9825921466370346,0.998610205823964,Hic quasi accusantium ad dignissimos.,13-04-2024,00:30:03,Yes,Yes,Yes,2,4,2,No,Yes,3,1,114,0,,,2
08:10.7,Hiral Parmer,2021BTech814,Male,2024,Bhopal,Rented Flat,0.8588568865536743,0.7526419250361869,462030,"['Private Bus', 'Bike']",30–45 mins,With friends,6:00 PM,7:30 PM,"['Friday', 'Thursday', 'Wednesday', 'Saturday', 'Monday', 'Tuesday']",Yes,2,"13/30, More Street
Kamarhati 959041",0.9903299492461402,0.9959871336716087,Deserunt laborum placeat eveniet voluptates sequi.,21-11-2024,05:14:16,No,Yes,No,2,4,3,Not Sure,Yes,2,1,94,2,,,3
54:56.2,Osha Balay,2020BTech513,Female,2024,Bhopal,PG,0.6020488258097529,0.7409036056278069,466001,"['Scooty', 'College Bus']",30–45 mins,With friends,11:40 AM,7:30 PM,"['Friday', 'Tuesday', 'Monday', 'Thursday', 'Saturday', 'Wednesday']",Yes,2,"50/06
Kaul Ganj
Rewa 606502",0.9867309455541416,0.9971707858190645,Eius distinctio quod libero aperiam.,08-06-2024,11:37:08,Not Sure,No,No,3,3,3,Yes,Yes,3,1,121,1,,,3
55:53.3,Rehaan Sani,2023BTech764,Female,2023,Bhopal,Rented Flat,0.2522786979783973,0.9590825397016545,466001,['Walking'],45 mins–1 hour,Alone,10:05 AM,4:20 PM,"['Thursday', 'Wednesday', 'Friday']",No,0,,0.0,0.0,,,,Yes,No,No,3,5,5,No,Yes,4,1,162,2,,,1
09:36.5,Lavanya Sha,2023BTech653,Female,2025,Sehore,PG,0.5799706852913786,0.45101370006042885,462030,"['Scooty', 'Bike', 'Private Bus']",30–45 mins,Alone,10:05 AM,1:10 PM,"['Monday', 'Tuesday', 'Saturday']",Yes,3,"25, Parsa Ganj, Patiala-198760",0.9796702810063369,0.9962668241205013,Nemo cum quia.,19-06-2024,14:51:28,Yes,No,Yes,1,1,1,No,No,3,1,115,1,,,4
14:40.6,Pushti Singhal,2024BTech906,Female,2024,Sehore,PG,0.8631820074968743,0.682527252538506,462030,"['Private Bus', 'Personal Car']",30–45 mins,With friends,11:40 AM,2:45 PM,"['Friday', 'Monday', 'Wednesday']",No,0,,0.0,0.0,,,,No,Yes,No,1,5,2,Not Sure,No,2,1,104,1,,,1
