Timestamp,Name,Registration Number,Gender,Batch,Area or Locality Near College,Type of Accommodation,Latitude (Accommodation),Longitude (Accommodation),Pincode,Commute Mode(s),How long is your commute,Do you usually travel alone or with others?,When Do You Leave for College?,When Do You Return Home?,Days of the Week You Commute,Have You Experienced Any Safety Incidents?,How many incidents have you experienced?,Where Did the Incident Happen?,Latitude (Incident),Longitude (Incident),Describe the incident,At which date the incident happen?,At what time the incident happen?,Was there any emergency support available?,Was the area had well lighting?,Were there any witnesses or bystanders present?,How Safe Do You Feel in Your Accommodation?,How Safe Do You Feel During Your Commute?,How likely are you to report an incident?,Do you feel informed about crime prevention strategies?,Do you know how to report safety concerns?,Confidence in staying safe,Has Incident
56:54.3,Urvi Jani,2024BTech741,Other,2025,Sehore,Rented Flat,23.14566,77.395878,466001,"['Personal Car', 'Monthly Cab']",30–45 mins,With friends,1:15 PM,11:35 AM,"['Tuesday', 'Wednesday', 'Thursday', 'Saturday', 'Friday', 'Monday']",No,0,None,0.0,0.0,None,None,None,Not Sure,Yes,Yes,1,3,2,Yes,No,2,1
16:10.6,Jalsa Prabhakar,2023BTech949,Male,2023,Kotri,Hostel,23.426546,77.261688,462030,"['Walking', 'Personal Car']",15–30 mins,Alone,8:30 AM,7:30 PM,"['Wednesday', 'Tuesday', 'Friday', 'Thursday', 'Saturday']",Yes,3,"H.No. 10
Luthra Chowk, Anantapuram-065924",23.135916,77.120581,Fugit illo hic hic consequatur facilis similique eius.,14-01-2024,13:05:54,Yes,Yes,Yes,3,4,2,Yes,No,1,1
15:17.9,Ayushman Kara,2023BTech531,Male,2024,Bhopal,PG,23.096072,77.461307,466001,"['Personal Car', 'Scooty']",30–45 mins,Alone,2:50 PM,2:45 PM,"['Saturday', 'Tuesday', 'Friday', 'Thursday', 'Monday', 'Wednesday']",Yes,2,"68, Nagy Chowk, Srinagar-710124",23.427569,77.246651,Mollitia est quos consectetur veniam ut nihil in.,01-03-2024,06:39:34,Yes,Not Sure,Yes,4,4,4,No,Yes,5,1
26:19.4,Abeer Sharaf,2025BTech613,Male,2025,Bhopal,PG,23.294451,77.416811,466001,"['Walking', 'College Bus']",45 mins–1 hour,Alone,4:25 PM,7:30 PM,"['Tuesday', 'Wednesday', 'Monday', 'Saturday']",Yes,2,"05/423
Zacharia Street, Silchar 984754",23.378966,77.35846,Quod sunt doloremque at.,31-07-2024,11:18:00,Not Sure,No,No,2,4,4,Yes,Yes,3,1
08:41.3,Chakradev Kumer,2020BTech163,Female,2025,Kotri,PG,23.453032,77.246858,462030,['Bike'],45 mins–1 hour,Alone,2:50 PM,10:00 AM,"['Friday', 'Tuesday', 'Thursday', 'Wednesday', 'Monday', 'Saturday']",No,0,None,0.0,0.0,None,None,None,Not Sure,Not Sure,Yes,4,4,1,Not Sure,No,5,1
14:22.7,Panini Iyengar,2020BTech162,Male,2025,Sehore,Hostel,23.155368,77.200911,462030,"['Private Bus', 'College Bus', 'Scooty']",30–45 mins,Alone,10:05 AM,5:55 PM,"['Tuesday', 'Friday', 'Thursday', 'Saturday', 'Wednesday']",No,0,None,0.0,0.0,None,None,None,Not Sure,No,No,4,3,5,Yes,No,2,1
34:40.1,Ekani Dani,2024BTech479,Female,2024,Bhopal,Hostel,23.087598,77.231107,466001,['Private Bus'],45 mins–1 hour,With friends,11:40 AM,2:45 PM,"['Wednesday', 'Monday', 'Thursday', 'Saturday', 'Friday']",Yes,1,"41/38, Lalla Ganj
Bihar Sharif 864252",23.086933,77.392256,Hic quasi accusantium ad dignissimos.,13-04-2024,00:30:03,Yes,Yes,Yes,2,4,2,No,Yes,3,1
08:10.7,Hiral Parmer,2021BTech814,Male,2024,Bhopal,Rented Flat,23.429329,77.376237,462030,"['Private Bus', 'Bike']",30–45 mins,With friends,6:00 PM,7:30 PM,"['Friday', 'Thursday', 'Wednesday', 'Saturday', 'Monday', 'Tuesday']",Yes,2,"13/30, More Street
Kamarhati 959041",23.26874,77.188968,Deserunt laborum placeat eveniet voluptates sequi.,21-11-2024,05:14:16,No,Yes,No,2,4,3,Not Sure,Yes,2,1
54:56.2,Osha Balay,2020BTech513,Female,2024,Bhopal,PG,23.301077,77.370391,466001,"['Scooty', 'College Bus']",30–45 mins,With friends,11:40 AM,7:30 PM,"['Friday', 'Tuesday', 'Monday', 'Thursday', 'Saturday', 'Wednesday']",Yes,2,"50/06
Kaul Ganj
Rewa 606502",23.184178,77.280701,Eius distinctio quod libero aperiam.,08-06-2024,11:37:08,Not Sure,No,No,3,3,3,Yes,Yes,3,1
55:53.3,Rehaan Sani,2023BTech764,Female,2023,Bhopal,Rented Flat,23.126399,77.47905,466001,['Walking'],45 mins–1 hour,Alone,10:05 AM,4:20 PM,"['Thursday', 'Wednesday', 'Friday']",No,0,None,0.0,0.0,None,None,None,Yes,No,No,3,5,5,No,Yes,4,1
